,missing_count,missing_percentage
income,0,0.0
age,0,0.0
dependents,0,0.0
occupation,0,0.0
city_tier,0,0.0
rent,0,0.0
loan_repayment,0,0.0
insurance,0,0.0
groceries,0,0.0
transport,0,0.0
eating_out,0,0.0
entertainment,0,0.0
utilities,0,0.0
healthcare,0,0.0
education,0,0.0
miscellaneous,0,0.0
desired_savings_percentage,0,0.0
desired_savings,0,0.0
disposable_income,0,0.0
potential_savings_groceries,0,0.0
potential_savings_transport,0,0.0
potential_savings_eating_out,0,0.0
potential_savings_entertainment,0,0.0
potential_savings_utilities,0,0.0
potential_savings_healthcare,0,0.0
potential_savings_education,0,0.0
potential_savings_miscellaneous,0,0.0
