,count,mean,std,min,25%,50%,75%,max,missing
income,20000.0,41585.49610420809,40014.5405375311,1301.1873325549093,17604.875957430886,30185.383480282784,51765.44645981381,1079728.3735172302,0
age,20000.0,41.03145,13.578725271044382,18.0,29.0,41.0,53.0,64.0,0
dependents,20000.0,1.99595,1.4176156316872215,0.0,1.0,2.0,3.0,4.0,0
rent,20000.0,9115.494628850347,9254.228187778268,235.36569242990643,3649.4222456739653,6402.75182382498,11263.940491541869,215945.67470344604,0
loan_repayment,20000.0,2049.8002915568945,4281.789940517946,0.0,0.0,0.0,2627.142320424755,123080.68200873844,0
insurance,20000.0,1455.0287605145606,1492.93843528988,30.002011733952813,580.2047488769103,1017.1246811232593,1787.1608953498533,38734.93293491964,0
groceries,20000.0,5205.667492917091,5035.953689058051,154.0782404303743,2165.42641904312,3741.091534756598,6470.892718162293,119816.89812392244,0
transport,20000.0,2704.4666850586427,2666.345647737338,81.22858353947137,1124.5780123776847,1933.8455090045636,3360.597507868779,81861.50345724131,0
eating_out,20000.0,1461.856981509274,1481.660811475686,39.43752347152829,581.0118008818927,1029.1097262528433,1807.075250606315,34406.10016620858,0
entertainment,20000.0,1448.8536576174345,1489.019269569795,45.42146875449333,581.632906256863,1020.1983756542775,1790.1040815947074,38667.3683079643,0
utilities,20000.0,2504.976952924239,2522.9818803503395,75.42941409603662,1017.6703655363187,1766.4748686287694,3103.7233084215018,53725.442254580616,0
healthcare,20000.0,1663.0817941353534,1628.163023589637,53.50076074051687,684.3644400160241,1189.2038270016164,2057.0822773803548,36001.52736536964,0
education,20000.0,2498.348421532444,3098.4381657136955,0.0,611.682170134421,1701.9010748973665,3311.705121866853,81665.09185716957,0
miscellaneous,20000.0,830.5531808624384,845.0199219907099,20.503223235471587,323.62689634121443,579.0783930325736,1025.1950182241142,15856.359400778718,0
desired_savings_percentage,20000.0,9.804183070490234,3.903858252941523,5.000042464667287,6.940423458116628,8.898622395426523,11.877170582227071,24.9987757869196,0
desired_savings,20000.0,4982.878415536119,7733.468188192078,0.0,1224.932636238137,2155.3567630909192,6216.309608915558,245504.48520842093,0
disposable_income,20000.0,10692.499619682925,11711.847348490151,4.066249309000341,3837.6805029452075,7275.3112525714,13331.950715853525,377060.2184816983,0
potential_savings_groceries,20000.0,912.197183462572,1038.8849677289368,16.575500707363133,317.81100038623697,607.0387345605359,1128.6818366894047,34894.6444036693,0
potential_savings_transport,20000.0,473.0426498420855,537.2228529591958,8.268075595001328,161.91375064664098,307.0458561379695,588.4196018421007,12273.258241946149,0
potential_savings_eating_out,20000.0,254.96327952243547,296.04794349276415,3.797925617521133,84.50686978924777,164.92766010228598,313.39824014343657,5573.0364333663065,0
potential_savings_entertainment,20000.0,254.03105768815783,299.97359022833547,3.1216097702631345,84.56208966358173,164.74023240532085,310.92793534911715,6222.200912602951,0
potential_savings_utilities,20000.0,436.33280815755035,503.20065771901534,6.2002967051851865,148.0136184627431,285.7395820352169,538.9837030687739,8081.799518004396,0
potential_savings_healthcare,20000.0,41.52496404372122,53.15245765250335,0.0012380985489124,11.037420959168296,25.20212401181669,52.35373552559834,1394.531048952232,0
potential_savings_education,20000.0,62.41708345252613,98.84265635596488,0.0,4.926210248790283,33.127986564723784,80.94614512612124,3647.244242843092,0
potential_savings_miscellaneous,20000.0,144.90498721823934,169.16095135614694,2.091972523329176,47.63730658589178,93.09025740451719,178.2579806423862,4637.9511374225385,0
