column,outlier_count,outlier_percentage,lower_bound,upper_bound
income,1254,6.2700000000000005,-33635.979796143496,103006.30221338819
age,0,0.0,-7.0,89.0
dependents,0,0.0,-2.0,6.0
rent,1320,6.6000000000000005,-7772.35512312789,22685.717860343724
loan_repayment,1880,9.4,-3940.7134806371323,6567.855801061887
insurance,1375,6.875000000000001,-1230.229470832504,3597.5951150592673
groceries,1227,6.135,-4292.7730296356385,12929.092166841052
transport,1261,6.305,-2229.4512308589565,6714.626751105419
eating_out,1325,6.625,-1258.0833737047408,3646.1704251929486
entertainment,1324,6.619999999999999,-1231.0738567499038,3602.810844601474
utilities,1291,6.455,-2111.4090487914564,6232.802722749277
healthcare,1294,6.47,-1374.7123160304714,4116.15903342685
education,1159,5.795,-3438.352257464227,7361.739549465501
miscellaneous,1348,6.74,-728.7252864831353,2077.5472010484636
desired_savings_percentage,789,3.945,-0.4646972280490367,19.282291268392736
desired_savings,1303,6.515,-6262.132822777994,13703.375067931689
disposable_income,1341,6.705,-10403.724816417267,27573.356035216
potential_savings_groceries,1401,7.005,-898.4952540685146,2344.988091144156
potential_savings_transport,1395,6.9750000000000005,-477.84502614654855,1228.1783786352903
potential_savings_eating_out,1431,7.155,-258.8301857420354,656.7352956747197
potential_savings_entertainment,1453,7.265000000000001,-254.9866788647214,650.4767038774203
potential_savings_utilities,1383,6.915,-438.44150844630303,1125.4388299778202
potential_savings_healthcare,1417,7.085,-50.937050890476776,114.32820737524341
potential_savings_education,1347,6.734999999999999,-109.10369206720614,194.97604744211765
potential_savings_miscellaneous,1471,7.355,-148.29370449884982,374.1889917271278
